地震時間	經度	緯度	規模	深度
2018/6/7 02:14	121.21	22.84	4.19	8.37
2018/6/2 19:25	121.91	24.5	4.29	60.42
2018/6/2 10:01	121.05	23.89	4.77	18.25
2018/6/2 01:43	121.48	23.94	4.34	18.93
2018/5/31 09:03	121.28	22.81	4.29	17.04
2018/5/31 09:03	121.23	22.86	4.76	8.65
2018/5/23 16:30	120.3	23.43	4.1	14.18
2018/5/19 11:09	122.32	24.95	4.3	17.48
2018/5/13 05:18	121.95	24.73	4.37	78.76
2018/5/12 12:17	121.69	23.86	4.77	47.7
2018/5/9 00:04	121.31	22.68	4.25	37.25

